Mod ID,Name,Category,Endorsements,Unique Downloads,Total Downloads,Views,Last Update,Original Upload,Creator Name,Uploader Name,Uploader ID,Country,Date Collected
280,High Quality Food and Ingrediants,Visuals and Graphics,1206,24334,36688,146347,2011/11/17,2011/11/16,icecreamshampoo,icecreamoranges,3113106,Not specified,2020/01/31
283,INSS Improved New Skyrim Shadows for Medium-Range PC,Visuals and Graphics,1344,22047,34408,368107,2013/11/02,2011/11/16,defosh369,defosh369,3108981,Poland,2020/01/31
290,Get Arrows Back,Gameplay Effects and Changes,1367,22043,43982,109999,2011/12/01,2011/11/16,Graxster,Graxster,424083,Not specified,2020/01/31
296,Nicer Snowflakes,Models and Textures,4279,99616,185016,412934,2011/11/16,2011/11/16,evercharmer,evercharmer,1904836,United States of America,2020/01/28
311,BOSS Userlist Manager - BUM,Utilities,14191,171357,232976,919450,2016/01/13,2011/11/16,Surazal,Surazal,339693,United Kingdom,2020/01/28
318,All Enchant Recipes - Via Disenchant (VANILLA ONLY),Cheats and God items,7002,87153,186434,541675,2011/11/20,2011/11/16,Akimb0,Akimb0,202126,Not specified,2020/01/28
329,Landscape Texture Pack WIP,Models and Textures,2218,59084,125764,451335,2011/12/03,2011/11/16,xclear - gorefest2011,xclear,1344107,United Kingdom,2020/01/30
348,Jump Higher,Cheats and God items,3411,43887,82648,216944,2011/11/16,2011/11/16,Graxster,Graxster,424083,Not specified,2020/01/28
362,Better Gold,Models and Textures,2809,44251,80617,254234,2011/12/04,2011/11/16,VagabondAngel,VagabondAngel,32624,United Kingdom,2020/01/30
369,Less Harsh Elves _ No Bags or Indentations,Models and Textures,1815,21638,37161,164477,2011/12/06,2011/11/16,Amanda LaPalme,Javett,3113618,Not specified,2020/01/31
389,3rd Person Animation Mod - Run Forward with Bow,Animation,2806,45617,88779,412604,2011/11/17,2011/11/17,Warburg,Warburg,3147728,Not specified,2020/01/30
404,3rd Person Animation Mod- Sprint with Magic,Animation,1648,31630,56167,269664,2011/11/17,2011/11/17,Warburg,Warburg,3147728,Not specified,2020/01/31
419,Solitude HD Textures,Models and Textures,1474,29148,56681,180031,2011/11/26,2011/11/17,Bythemark,Bythemark,3100412,Not specified,2020/01/31
436,HD Legible Road Signs,Landscape Changes,19376,227307,453131,833616,2011/12/03,2011/11/17,SPARTAN VI,SPARTAN VI,95733,United States of America,2020/01/28
441,Deathstar Moon,Visuals and Graphics,1306,16743,33773,155072,2011/11/18,2011/11/17,Arknor,arknor1050,2911450,Not specified,2020/01/31
442,werewolf skins,Models and Textures,1405,21963,56004,279228,2011/11/26,2011/11/17,Spacerogue aikospacerogue,Aikospacerogue,2339412,Belgium,2020/01/31
468,HLP Night Sky,Models and Textures,1096,12628,24161,103782,2011/11/19,2011/11/17,HerraTohtori,Turambar87,617994,Not specified,2020/01/31
472,Essential Followers,Cheats and God items,1212,16937,28741,174411,2012/01/26,2011/11/17,Nekocatz,Nekocatz,701381,Not specified,2020/01/31
479,SIM - Skyrim Interface Makeover for SkyUI (Fhaarkas Font Mod),User Interface,3596,35576,82601,397176,2016/04/27,2011/11/17,Fhaarkas,Fhaarkas,1157655,Not specified,2020/01/28
515,More Freckles by Zhoken,"Body, Face, and Hair",3778,41401,86708,318271,2011/11/21,2011/11/18,Zhoken,Zhoken,1025636,Not specified,2020/01/28
522,Better archery Eagle Eye perk,Gameplay Effects and Changes,6116,100176,185350,493577,2011/12/01,2011/11/18,Graxster,Graxster,424083,Not specified,2020/01/28
526,A highres 2048x Glass armor and weapons retex by Devalinor,Models and Textures,1223,23741,81011,281741,2012/06/03,2011/11/18,Devalinor _ Original by Bethesda,Devalinor,50167,Germany,2020/01/31
534,Improved Torches Textures,Models and Textures,1218,25625,46335,120915,2011/11/21,2011/11/18,TERAB1T,TERAB1T,876057,Russian Federation,2020/01/31
545,Magicka and Stamina Combat Regeneration,Gameplay Effects and Changes,1250,18424,59195,155205,2012/01/16,2011/11/18,Astark,AStark,3165101,Not specified,2020/01/31
547,Pickpocketing Chance Caps,Gameplay Effects and Changes,2792,32079,64940,160913,2011/12/10,2011/11/18,LFox,HornedReaperMJL,5663,Not specified,2020/01/30
562,No Helmet Mod,Armour,3213,90489,198667,708104,2011/12/13,2011/11/18,vuradic,vuradic,2274471,Not specified,2020/01/30
586,White Werewolf,NPC,1313,17085,25645,201985,2011/11/18,2011/11/18,CRO White Wolf,BattleFurs,3128151,Not specified,2020/01/31
596,Enhanced Horse Skins,Creatures,5089,80641,142216,500502,2011/11/24,2011/11/18,Shogun3d,Shogun3d,3121193,United States of America,2020/01/28
601,Realistic Ragdolls and Force,Gameplay Effects and Changes,224187,2299548,7552080,11195360,2018/09/22,2011/11/18,dDefinder,dDefinder1,126669,Philippines,2020/01/27
607,Skyrim HD - 2K Textures,Models and Textures,298869,3369725,23112819,29589970,2015/09/27,2011/11/19,NebuLa from AHBmods,NebuLa1,3101794,Germany,2020/01/27
611,Improved Destruction Magic,Gameplay Effects and Changes,1725,33549,55159,309287,2011/11/19,2011/11/19,Penumbral,Penumbral,330708,Not specified,2020/01/31
627,Eyebrows Match Hair,Models and Textures,3046,47450,90657,271363,2011/11/19,2011/11/19,Aluminumfoil,Aluminumfoil,2289036,Not specified,2020/01/30
648,No Tint and Desaturation,Visuals and Graphics,1281,23447,63480,253778,2012/01/06,2011/11/19,Laicus,Laicus,3009447,Not specified,2020/01/31
660,Superjump,Cheats and God items,1031,13239,21319,87250,2011/11/19,2011/11/19,simssi,simssi,2079107,Not specified,2020/01/31
667,QD Inventory,User Interface,8989,181800,351329,1620242,2011/11/28,2011/11/19,Roltak,Roltak,1635051,Not specified,2020/01/28
679,Better Landscape textures,Landscape Changes,2880,68254,115491,363350,2011/11/29,2011/11/19,Castiel,Castiel933,1777309,Not specified,2020/01/30
686,No Gravity Arrows,Cheats and God items,3442,44990,86766,242692,2011/11/22,2011/11/19,Graxster,Graxster,424083,Not specified,2020/01/28
687,KenMOD - Navi cursor,User Interface,1057,10799,18567,109739,2011/11/19,2011/11/19,Kenney,Kenney,440451,Not specified,2020/01/31
690,Freckles for females,Models and Textures,1655,42840,72366,171557,2011/11/19,2011/11/19,realadry,realadry,3110549,Not specified,2020/01/31
705,Riften HQ textures,Models and Textures,3861,60928,125551,265319,2013/09/27,2011/11/19,Erik,gorefest2011,3038855,Norway,2020/01/28
727,Better Blood Splatters,Models and Textures,1186,20050,36339,160001,2011/11/20,2011/11/19,Cristofano Varacolaci,Varacolaci,1288530,Not specified,2020/01/31
736,Interior and Dungeon Fog Remover,Environmental,9882,158803,316714,621326,2011/11/20,2011/11/20,747823,747823,3186836,Not specified,2020/01/28
743,HQ Snow Texture,Models and Textures,10278,143998,270256,625374,2016/10/30,2011/11/20,Erik,gorefest2011,3038855,Norway,2020/01/28
745,Skyrim Add Perk Points Trainer UPDATED 12-07-2011,Cheats and God items,1512,43776,85710,359241,2011/12/07,2011/11/20,Tytanis,Tytanis,3148513,United States of America,2020/01/31
746,No NPC Greetings,Gameplay Effects and Changes,21224,198976,479380,844165,2012/02/07,2011/11/20,Cipscis,Cipscis,538859,New Zealand,2020/01/28
759,Amazing Female Armor Redesigns,Armour,1195,27791,99557,629740,2011/12/04,2011/11/20,Zalzama,Zalzama,586535,Not specified,2020/01/31
769,Rich Merchants,"Mercantiles (shops, stores, inns, taverns, etc)",20408,296950,543544,1465391,2011/11/20,2011/11/20,WheresMyPocket,WheresMyPocket,3191436,Not specified,2020/01/28
776,Increased Carry Weight from Stamina,Gameplay Effects and Changes,1462,33361,67741,179958,2011/11/20,2011/11/20,WheresMyPocket,WheresMyPocket,3191436,Not specified,2020/01/31
799,More Craftables,Miscellaneous,8765,137223,337945,1026665,2012/11/12,2011/11/20,AeonVita,AeonVita,3193983,Sweden,2020/01/28
810,HQ Milky way galaxy,Environmental,4001,59841,106612,283123,2011/11/21,2011/11/20,Manesse,manesse,3108493,Not specified,2020/01/28
814,Skyrim configurator,Utilities,9957,124770,230387,801570,2017/05/21,2011/11/20,pfannkuchen_gesicht,pfannkuchen_gesicht,1843939,Not specified,2020/01/28
820,Non-playable Armor,Armour,1713,30917,55107,313329,2011/11/23,2011/11/20,gibbed,gibbed,85616,United States of America,2020/01/31
822,SKYRIM ENHANCED SHADERS - ENB,ENB Preset,13908,303256,706054,3093329,2013/07/15,2011/11/20,Tapioks,tapioks,1215280,Not specified,2020/01/28
823,Immersive Environment,Visuals and Graphics,2180,53225,94235,374924,2011/12/21,2011/11/20,Gnozer,Gnozer,3166264,Not specified,2020/01/30
830,Argonian Snake Eyes,Models and Textures,1066,13751,22364,121331,2011/11/20,2011/11/20,Drachis,Drachis,3198025,United States of America,2020/01/31
834,A Trolling Troll with Trololol Song,Models and Textures,1457,18984,30111,171477,2011/11/21,2011/11/20,Tytanis,Tytanis,3148513,United States of America,2020/01/31
836,Realistic Smoke and Embers,Visuals and Graphics,49204,816597,1845067,3452461,2012/01/23,2011/11/20,isoku,isoku,2463371,Not specified,2020/01/28
849,Improved rock and mountain textures - 4096x and 2048x,Models and Textures,3399,95419,163761,415995,2011/11/20,2011/11/20,747823,747823,3186836,Not specified,2020/01/30
859,Two Handed animations redone,Animation,1567,30145,51608,423848,2011/11/21,2011/11/21,PLZAXBB,PLZAXBB,1581132,Slovakia,2020/01/31
866,ReAL Sun - insane0h Realistic Sunglare,Visuals and Graphics,5940,107381,175071,443647,2011/11/22,2011/11/21,sval,svaalbard,2645612,Not specified,2020/01/28
874,Vals Crafting Meltdown Alpha - Melting Smelting and Fletchin,Miscellaneous,9891,158076,334640,1031110,2012/01/10,2011/11/21,Valdosa,valdosa,1580769,United States of America,2020/01/28
885,Craftable Lockpicks,Miscellaneous,2525,27449,46230,133141,2011/11/21,2011/11/21,Hull,hullcrushdepth,1739874,Not specified,2020/01/30
934,Faster Horses,Creatures,6620,145826,251938,647504,2011/11/21,2011/11/21,WheresMyPocket,WheresMyPocket,3191436,Not specified,2020/01/28
937,Realistic Paper,Models and Textures,3967,68992,131945,288124,2011/12/09,2011/11/21,realadry,realadry,3110549,Not specified,2020/01/28
951,Toggle Khajit Night Eye and Vampire Sight,Magic - Gameplay,1067,13894,26205,114400,2011/11/21,2011/11/21,Hull,hullcrushdepth,1739874,Not specified,2020/01/31
952,Tougher Traps,Gameplay Effects and Changes,1583,19304,30625,122142,2012/02/13,2011/11/21,Xylozi,Xylozi,2907535,United Kingdom,2020/01/31
977,Realistic Magical Impacts,Models and Textures,1148,28986,48205,172187,2011/11/22,2011/11/21,pinpinade,pinpinade,3207954,Not specified,2020/01/31
981,Drachis Argonians Mod (Old Version),"Races, Classes, and Birthsigns",6540,91321,225232,983443,2011/12/20,2011/11/22,Drachis,Drachis,3198025,United States of America,2020/01/28
990,Enchanting effect mods and Perk modfications,Cheats and God items,2653,37466,108245,332601,2011/12/29,2011/11/22,Kivespussi,kivespussi,141649,Not specified,2020/01/30
1002,JaySuS Swords,Weapons,90168,1174385,4134438,8365202,2012/05/13,2011/11/22,JaySuS,jaysus,70110,Kiribati,2020/01/28
1009,Faster Arrows,Combat,10266,162571,297289,765829,2011/11/22,2011/11/22,FordPerfect,FordPerfect,2848806,Canada,2020/01/28
1010,Craftable Arrows,Miscellaneous,4547,71345,126035,318579,2011/12/03,2011/11/22,Link428,link428,172328,Not specified,2020/01/28
1020,Lost Art of the Blacksmith,Gameplay Effects and Changes,13833,212872,417915,1335347,2012/01/03,2011/11/22,Impulseve,Impulseve,3163284,Not specified,2020/01/28
1036,Lightweight Potions and Poisons,Gameplay Effects and Changes,5055,62473,101379,332361,2012/11/19,2011/11/22,JustinOther,JustinOther,535437,United States of America,2020/01/28
1037,26 Moon Size Tweeks,Environmental,2298,32245,62769,188975,2011/12/10,2011/11/22,akindain,akindain,1190353,United States of America,2020/01/30
1041,PSYRIM Music Overhual,"Audio - SFX, Music, and Voice",2593,32671,59824,295138,2012/11/26,2011/11/22,meathax,meathax,1418815,Not specified,2020/01/30
1042,JewelCraft,Clothing,2935,29074,60688,410409,2012/03/02,2011/11/22,Happy Spike,Tytanis,3148513,United States of America,2020/01/30
1050,less touchy lockpicking,Skills and Leveling,1125,14016,23022,96859,2011/11/22,2011/11/22,tmonet,mongolrainbows2,3056619,Not specified,2020/01/31
1096,KenMOD - Item icons,User Interface,1127,24938,40524,192876,2011/11/26,2011/11/22,Kenney,Kenney,440451,Not specified,2020/01/31
1111,Pure Waters,Visuals and Graphics,113306,1317303,3481791,5576475,2014/10/07,2011/11/22,Laast,Laast,1213768,France,2020/01/28
1114,Cheat Mod,Cheats and God items,2044,35235,67883,295034,2011/11/28,2011/11/22,Slayer113,Slayer113,2178845,United States of America,2020/01/30
1117,Smooth blade draw and Sheathe,"Audio - SFX, Music, and Voice",9319,119626,238790,501040,2013/09/23,2011/11/22,Vanaran,Vanaran,3127124,France,2020/01/28
1123,Tobes Highres Textures,Models and Textures,7578,103437,327548,489228,2012/08/07,2011/11/23,Mr Bravo aka Tobe,Mr. Bravo,100074,Sweden,2020/01/28
1167,Pretty Lips,"Body, Face, and Hair",14400,185733,330398,888673,2011/11/25,2011/11/23,Danariel,Danariel,154211,United States of America,2020/01/28
1175,Skyrim -Community- Uncapper,Gameplay Effects and Changes,91559,878136,2690419,5236745,2016/06/20,2011/11/23,Elys,Elys,532478,France,2020/01/28
1177,Xbox360 Controller KeyRemap,User Interface,1900,33066,86122,249230,2012/01/27,2011/11/23,m0m,m0m,1055293,Not specified,2020/01/31
1178,Arrowsmith - Reupload,Items and Objects - Player,4340,71183,113970,381365,2011/11/23,2011/11/23,Samutz,uxlapogi,239146,Not specified,2020/01/28
1192,High Quality Food and Ingredients,Items and Objects - World,19670,293957,627017,1179140,2017/03/13,2011/11/23,Iraito,eraitico,2910810,Not specified,2020/01/28
1197,HD Better Reflections For Armor and Weapons,Models and Textures,2110,40909,84840,249610,2011/12/08,2011/11/23,wafiks,wafiks,3216320,Not specified,2020/01/30
1200,Skyrim Mod Manager Lite,Utilities,2349,53118,81628,319492,2015/09/15,2011/11/23,Me,FireBug3,2843195,Not specified,2020/01/30
1217,Craftable Soulgems,Alchemy,1188,17561,33267,154265,2011/11/27,2011/11/23,Octavvius,Octavvius,3169055,Germany,2020/01/31
1227,Container Categorization,Gameplay Effects and Changes,1591,34171,70255,336668,2012/01/26,2011/11/23,gibbed,gibbed,85616,United States of America,2020/01/31
1233,A White Mini Dress,Clothing,1577,25724,41256,424512,2011/11/24,2011/11/23,Shoobydoo,Shoobydoo,1788750,Not specified,2020/01/31
1269,PISE - Improved Skyrim Experience,Overhauls,3402,54467,156269,772275,2012/06/05,2011/11/24,Pluto,Plutoman101,3105456,Not specified,2020/01/30
1306,Ambient Seagulls,"Audio - SFX, Music, and Voice",3190,43060,78795,158120,2011/11/24,2011/11/24,Tricolour,tricolour,3031752,Not specified,2020/01/30
1327,Colored Map Markers,User Interface,2666,54004,103707,419520,2011/12/03,2011/11/24,Forsaken32,Forsaken32,161902,Not specified,2020/01/30
1329,Beauty Faces for females,Models and Textures,7994,137382,241553,1181741,2011/12/02,2011/11/24,necKros,necKros,657221,Not specified,2020/01/28
1334,Mod Organizer,Utilities,174952,1386317,4332844,10023814,2015/09/05,2011/11/24,Tannin,Tannin42,1100552,Germany,2020/01/27
1345,Enchantment Effect Replacer,Models and Textures,6188,68770,147036,451398,2011/11/24,2011/11/24,Myopic,Myopic,355645,Not specified,2020/01/28
1367,Perk Points,Gameplay Effects and Changes,1030,20092,37345,157812,2011/12/21,2011/11/24,gibbed,gibbed,85616,United States of America,2020/01/31
1370,Casual bow animations,Animation,5337,72401,140365,538294,2011/11/24,2011/11/24,jaj123,jaj123,991546,Not specified,2020/01/28
1377,Beautiful Skyrim - HD Weaponry,Models and Textures,1240,28656,89623,276621,2011/12/07,2011/11/24,Masterdaz,masterdaz22,1323519,Not specified,2020/01/31
1382,Snow and Rocks TEXTURES HD,Models and Textures,5392,83593,239689,452734,2011/12/20,2011/11/24,darevix,darevix,445838,Spain,2020/01/28
1395,BSA Browser,Utilities,6275,114826,234498,548323,2016/04/21,2011/11/24,Fawzib Rojas,Faw,98181,Puerto Rico,2020/01/28
1409,Cooking Expanded,Gameplay Effects and Changes,5526,59590,169506,381384,2013/04/27,2011/11/25,cordsnwires,void_gazer,1476844,Not specified,2020/01/28
1546,Hybrids HD Plants and Herbs Retexture,Models and Textures,15896,213610,434148,892776,2011/12/09,2011/11/26,Gabriel Gullbergh - Mystikhybrid,mystikhybrid,294935,Not specified,2020/01/28
1558,Alchemists Have Ingredients,Gameplay Effects and Changes,2373,29829,71971,158621,2013/02/06,2011/11/26,LFox,HornedReaperMJL,5663,Not specified,2020/01/30
1560,Capeless Nightingale,Armour,3216,34462,61026,263245,2012/02/03,2011/11/26,Gilead Maerlyn,Gilead Maerlyn,459350,France,2020/01/30
1601,Tytanis - Farming - Mounts - Crafts - Spells - Items - MORE,Overhauls,13645,279855,871904,3942879,2012/05/08,2011/11/26,Tytanis,Tytanis,3148513,United States of America,2020/01/28
1603,Skyrim Speeds - walk run sprint horses werewolves,Gameplay Effects and Changes,4121,50665,110894,337754,2012/02/12,2011/11/26,Wolfmark,Wolfmark,3224063,Not specified,2020/01/28
1618,Books Notes Paper HD 2K,Models and Textures,2913,38014,63179,157860,2011/11/27,2011/11/26,MacTac,Mactac,2824613,Not specified,2020/01/30
1622,Weightless Items,Cheats and God items,6512,84144,155249,502542,2012/02/23,2011/11/26,Wolferoo,Wolferoo,197682,United States of America,2020/01/28
1628,HD High Resolution Books - Libri ad Alta Risoluzione,Items and Objects - World,1841,27850,73999,148755,2011/11/28,2011/11/26,Jac22v,jac22v,3101027,Not specified,2020/01/31
1632,Skyrim Laugh Track mod,"Audio - SFX, Music, and Voice",1807,23054,34655,171819,2011/12/21,2011/11/26,qptain Nemo,KereeMelange,1519326,Not specified,2020/01/31
1647,Whiterun Trellis Redesigned and HQ,Models and Textures,5889,73214,152447,280013,2011/11/27,2011/11/26,Toby S,Tiblot,3196276,United Kingdom,2020/01/28
1653,Alternate Sun Glare,Environmental,2513,40626,66895,238252,2011/11/29,2011/11/26,isoku,isoku,2463371,Not specified,2020/01/30
1690,Legendary Smithing Upgrades,Skills and Leveling,4214,62504,106754,442790,2011/12/08,2011/11/27,Lucubration,Lucubration,1960021,Not specified,2020/01/28
1702,Immersive Skyrim Thunder V6,Immersion,21188,323450,690107,1405785,2012/12/19,2011/11/27,Wordeee,wordeee,242437,Not specified,2020/01/28
1731,Hectrol SPIDER WEBS Deluxe HighRes Retex,Models and Textures,3428,56184,100371,203757,2011/11/27,2011/11/27,hectrol,hectrol,951224,Spain,2020/01/28
1754,Weapon Retexture Project - WRP,Models and Textures,19214,371573,748083,2239157,2012/02/19,2011/11/27,Millenia,Millenia,431125,United Kingdom,2020/01/28
1779,Eisen Platte Armor from TES4,Armour,1480,28285,47719,324080,2011/12/06,2011/11/27,NPR and invalidfate,invalidfate,2348378,Not specified,2020/01/31
1797,hkxcmd,Utilities,1589,20606,40366,161459,2012/03/10,2011/11/27,figment,TheFigment,3287988,Not specified,2020/01/31
1826,Lower Sounding Thieves Guild Door,"Audio - SFX, Music, and Voice",3935,46495,84086,149892,2011/11/28,2011/11/28,John Kelly,john129pats,2609353,Not specified,2020/01/28
1838,Ash Pile Retex,Models and Textures,4434,57426,116152,244166,2011/12/05,2011/11/28,Raymond Murphy,Valstein0,3106615,Not specified,2020/01/28
1840,Wrye Bash,Utilities,68089,767056,1826004,4467250,2020/01/08,2011/11/28,Wrye Bash Team,lojack,215411,Not specified,2020/01/28
1874,Bandit Eyepatch,Models and Textures,1703,27957,47040,215777,2012/04/17,2011/11/28,Ceekay9,Ceekay9,3214348,Not specified,2020/01/31
1875,RCRN AE -- HDR Lighting and Weather Enhancement,Visuals and Graphics,15007,226436,444045,2335589,2013/12/03,2011/11/28,the RCRN Developers,aLaaa,3239170,Italy,2020/01/28
1878,Replacement Ivy,Models and Textures,4912,90519,177960,262977,2011/11/29,2011/11/28,Thonk,thonk,90338,Not specified,2020/01/28
1909,RV Vampire eyes,Models and Textures,1691,28470,48505,251022,2013/01/03,2011/11/28,Pema Mendez,pemamendez,2010294,Not specified,2020/01/31
